category,difficulty,system,prompt,completion
out_of_context,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
RAID (Redundant Array of Independent Disks) uses multiple physical disks to improve performance and/or reliability through techniques such as striping, mirroring, and parity.

Question: How do you bake a chocolate cake?",OUT_OF_CONTEXT
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In contiguous memory allocation, free memory is organized as a list of holes (blocks). First-fit allocates a process into the first hole large enough to hold it (scanning from the start). Best-fit allocates into the smallest hole that is still large enough. Worst-fit allocates into the largest available hole. After allocation, the unused remainder of the chosen hole remains as a smaller free hole.

Question: Free memory consists of the following holes, in this order: B0=196KB, B1=290KB, B2=323KB, B3=54KB, B4=301KB. The following processes arrive in this order and must each be placed into a single contiguous free hole: P0=183KB, P1=34KB, P2=250KB, P3=179KB.

Using the first-fit allocation strategy, determine which memory block (if any) each process is placed into, and the sizes of the remaining free blocks after all allocations.","P0 (183KB): placed in B0 (was 196KB) -> B0 now has 13KB free
P1 (34KB): placed in B1 (was 290KB) -> B1 now has 256KB free
P2 (250KB): placed in B1 (was 256KB) -> B1 now has 6KB free
P3 (179KB): placed in B2 (was 323KB) -> B2 now has 144KB free

Final remaining free block sizes: B0=13KB, B1=6KB, B2=144KB, B3=54KB, B4=301KB"
applied_numerical,hard,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
The Banker's algorithm avoids deadlock by only granting a resource request if the resulting state is 'safe'. A state is safe if there is some ordering (safe sequence) of all processes such that each process's remaining Need can be satisfied by the currently Available resources plus what is freed by processes earlier in the sequence. Need[i] = Max[i] - Allocation[i]. The safety algorithm repeatedly finds any unfinished process whose Need is <= Work (initially Available), 'runs' it (adding its Allocation back to Work), and marks it finished, until no more processes can be added (safe if all finish) or no more can be found (unsafe if any remain unfinished).

Question: A system has 5 processes (P0..P4) and 2 resource types (A, B). The current Allocation and Max matrices, and the Available vector, are:

Allocation:
Process | A  B
P0      | 0  7
P1      | 4  0
P2      | 4  1
P3      | 0  0
P4      | 1  5

Max:
Process | A  B
P0      | 5  8
P1      | 6  8
P2      | 9  4
P3      | 3  4
P4      | 3  6

Available: A=2, B=3

Process P2 now requests additional resources: A=7, B=2. Using the Banker's algorithm, determine whether this request can be granted immediately.","Need = Max - Allocation:
Process | A  B
P0      | 5  1
P1      | 2  8
P2      | 5  3
P3      | 3  4
P4      | 2  1

Step 1: Is Request <= Need[P2]? Request=[7, 2], Need[P2]=[5, 3]
-> No. The request exceeds P2's declared maximum need, which is an error condition. The request cannot be granted."
negative_edge_case,hard,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
The Banker's algorithm is a deadlock-avoidance algorithm that treats resource allocation like a banker extending credit: it only grants a resource request if the system remains in a safe state afterward, i.e., there exists some order in which all processes can complete.

Question: If a process declares a Maximum resource need that is larger than the total number of instances of that resource type that will ever exist in the system, can the system still reach a safe state with respect to that process?","No. A state is safe only if there exists a safe sequence in which each process's remaining resource Need can eventually be satisfied using currently available resources plus resources freed by processes earlier in the sequence — but the most that could ever become available to any process, even in the best case, is the total number of instances of that resource type that exist in the system. If a process's declared Maximum need exceeds that total, no amount of waiting or sequencing could ever supply enough of that resource to satisfy it, since the resource simply doesn't exist in sufficient quantity anywhere in the system. No safe sequence could ever complete for that process, so the system could never be considered safe with respect to it."
applied_numerical,hard,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
The Banker's algorithm avoids deadlock by only granting a resource request if the resulting state is 'safe'. A state is safe if there is some ordering (safe sequence) of all processes such that each process's remaining Need can be satisfied by the currently Available resources plus what is freed by processes earlier in the sequence. Need[i] = Max[i] - Allocation[i]. The safety algorithm repeatedly finds any unfinished process whose Need is <= Work (initially Available), 'runs' it (adding its Allocation back to Work), and marks it finished, until no more processes can be added (safe if all finish) or no more can be found (unsafe if any remain unfinished).

Question: A system has 4 processes (P0..P3) and 2 resource types (A, B). The current Allocation and Max matrices, and the Available vector, are:

Allocation:
Process | A  B
P0      | 3  6
P1      | 0  6
P2      | 6  0
P3      | 6  1

Max:
Process | A  B
P0      | 3  6
P1      | 7  6
P2      | 7  5
P3      | 9  5

Available: A=3, B=6

Compute the Need matrix, and using the Banker's algorithm, determine whether the system is currently in a safe state. If it is, give a valid safe sequence.","Need = Max - Allocation:
Process | A  B
P0      | 0  0
P1      | 7  0
P2      | 1  5
P3      | 3  4

Need[P0] = [0, 0] <= Work [3, 6] -> P0 can run; Work becomes [6, 12]
Need[P2] = [1, 5] <= Work [6, 12] -> P2 can run; Work becomes [12, 12]
Need[P3] = [3, 4] <= Work [12, 12] -> P3 can run; Work becomes [18, 13]
Need[P1] = [7, 0] <= Work [18, 13] -> P1 can run; Work becomes [18, 19]

All processes finish. The system IS in a safe state.
Safe sequence: P0 -> P2 -> P3 -> P1"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
FIFO page replacement evicts the page that has been resident in memory the longest, regardless of how recently or often it has been used, when a page fault occurs and all frames are full.

Question: A system uses 4 page frames and the FIFO page replacement algorithm. Given the page reference string:
5, 3, 2, 4, 0, 5, 4, 0, 2, 0

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
5   | [5]                   | Fault
3   | [5, 3]                | Fault
2   | [5, 3, 2]             | Fault
4   | [5, 3, 2, 4]          | Fault
0   | [3, 2, 4, 0]          | Fault
5   | [2, 4, 0, 5]          | Fault
4   | [2, 4, 0, 5]          | Hit
0   | [2, 4, 0, 5]          | Hit
2   | [2, 4, 0, 5]          | Hit
0   | [2, 4, 0, 5]          | Hit

Total references = 10
Total page faults = 6
Total page hits = 4
Page fault rate = 6/10 = 0.60"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
FIFO page replacement evicts the page that has been resident in memory the longest, regardless of how recently or often it has been used, when a page fault occurs and all frames are full.

Question: A system uses 4 page frames and the FIFO page replacement algorithm. Given the page reference string:
2, 5, 5, 5, 4, 3, 4, 5, 5, 1, 3, 5, 0

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
2   | [2]                   | Fault
5   | [2, 5]                | Fault
5   | [2, 5]                | Hit
5   | [2, 5]                | Hit
4   | [2, 5, 4]             | Fault
3   | [2, 5, 4, 3]          | Fault
4   | [2, 5, 4, 3]          | Hit
5   | [2, 5, 4, 3]          | Hit
5   | [2, 5, 4, 3]          | Hit
1   | [5, 4, 3, 1]          | Fault
3   | [5, 4, 3, 1]          | Hit
5   | [5, 4, 3, 1]          | Hit
0   | [4, 3, 1, 0]          | Fault

Total references = 13
Total page faults = 6
Total page hits = 7
Page fault rate = 6/13 = 0.46"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
C-SCAN (Circular SCAN) disk scheduling moves the head in one direction, servicing every pending request it passes, all the way to that end of the disk; it then jumps immediately to the opposite end of the disk (this jump counts toward total head movement) and continues scanning in the SAME original direction, servicing the remaining requests, ensuring more uniform wait times than SCAN.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 160. The pending requests, in the order they arrived, are: 193, 137, 170, 55, 195, 63, 174, 152, 20.

Using the C-SCAN (initial direction: decreasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 160 -> 152 -> 137 -> 63 -> 55 -> 20 -> 195 -> 193 -> 174 -> 170

Head movement per step: |152-160|=8 + |137-152|=15 + |63-137|=74 + |55-63|=8 + |20-55|=35 + |195-20|=175 + |193-195|=2 + |174-193|=19 + |170-174|=4

Total head movement = 388 cylinders"
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
RCU (Read-Copy-Update) is a synchronization technique that lets readers access a shared data structure with no locking at all — reads are essentially free and scale perfectly across cores — by having writers publish updates atomically via a single pointer swap and deferring reclamation of the old version until a 'grace period' guarantees no reader can still be using it.

Question: What is RCU (Read-Copy-Update), and why do readers need no lock at all?","RCU lets readers traverse a shared data structure by simply dereferencing pointers, bracketed only by rcu_read_lock()/rcu_read_unlock() — which, in the common kernel implementation, compile down to nearly nothing (e.g. just disabling preemption) rather than acquiring any actual lock or performing any atomic read-modify-write instruction. This works because writers never mutate a structure readers might be traversing IN PLACE: a writer builds an entire new (or copied-and-modified) version of the data off to the side, then publishes it with a single atomic pointer write that redirects future readers to the new version. Since any in-flight reader either read the pointer before the swap (and sees the complete old version) or after (and sees the complete new version), there is never a half-updated state a reader could observe, so readers need no synchronization with the writer at all — this is what makes RCU reads scale with zero cache-line contention across any number of cores."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
The I/O subsystem manages communication between the CPU and peripheral devices using techniques such as polling, interrupts, DMA, spooling, buffering, and caching.

Question: What is the difference between polling and interrupt-driven I/O?","Polling has the CPU repeatedly check (busy-wait on) a device's status register to see if it's ready, wasting CPU cycles while waiting. Interrupt-driven I/O lets the CPU do other useful work and only responds when the device signals completion via a hardware interrupt, which is far more efficient for most devices, though polling can be faster for very quick, predictable operations since it avoids interrupt overhead."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In a paged memory system, a logical address is split into a page number and an offset: page number = logical address // page size; offset = logical address % page size. The page table maps each page number to a physical frame number. The physical address is computed as: physical address = (frame number x page size) + offset.

Question: A system uses paging with a page size of 512 bytes. A process has 4 pages, with the following page table: page 0 -> frame 1, page 1 -> frame 8, page 2 -> frame 4, page 3 -> frame 2.

For the logical address 479, determine: (a) the page number, (b) the offset within the page, (c) the corresponding frame number, and (d) the resulting physical address.","(a) Page number = logical address // page size = 479 // 512 = 0
(b) Offset = logical address % page size = 479 % 512 = 479
(c) From the page table, page 0 -> frame 1
(d) Physical address = (frame number x page size) + offset = (1 x 512) + 479 = 991"
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Processes are created dynamically using system calls such as fork() and exec() on Unix-like systems, and cooperating processes exchange data using inter-process communication (IPC) mechanisms such as shared memory and message passing.

Question: What is a zombie process, and what is an orphan process?","A zombie process is a process that has finished execution (called exit()) but whose entry still remains in the process table because its parent hasn't yet called wait() to read its exit status — it holds no resources except its slot in the table. An orphan process is one whose parent terminated before it did; orphans are typically re-parented to a special system process (like init/PID 1 on Unix), which periodically calls wait() on them to clean them up."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In a paged memory system, a logical address is split into a page number and an offset: page number = logical address // page size; offset = logical address % page size. The page table maps each page number to a physical frame number. The physical address is computed as: physical address = (frame number x page size) + offset.

Question: A system uses paging with a page size of 1024 bytes. A process has 7 pages, with the following page table: page 0 -> frame 1, page 1 -> frame 4, page 2 -> frame 8, page 3 -> frame 2, page 4 -> frame 0, page 5 -> frame 7, page 6 -> frame 5.

For the logical address 3148, determine: (a) the page number, (b) the offset within the page, (c) the corresponding frame number, and (d) the resulting physical address.","(a) Page number = logical address // page size = 3148 // 1024 = 3
(b) Offset = logical address % page size = 3148 % 1024 = 76
(c) From the page table, page 3 -> frame 2
(d) Physical address = (frame number x page size) + offset = (2 x 1024) + 76 = 2124"
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Different CPU scheduling algorithms trade off average waiting time, responsiveness, fairness, and implementation overhead differently.

Question: Compare FCFS and SJF scheduling in terms of average waiting time.","SJF minimizes average waiting time by always running the shortest job available next, whereas FCFS ignores burst length entirely and can force short jobs to wait behind long ones (the convoy effect), typically producing a higher average waiting time than SJF for the same workload."
applied_conceptual,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Operating systems can be classified by how they schedule and share the CPU among users and processes: batch systems, multiprogrammed systems, time-sharing systems, real-time systems, and distributed systems, each suited to different workloads.

Question: A hospital's patient-monitoring system must guarantee that a heart-rate alarm is raised within a strict, guaranteed time window every time — a missed alarm is unacceptable. Which type of operating system does this need, and why would a standard time-sharing OS be unsuitable?","This system needs a hard real-time operating system, since a hard real-time system must meet its deadlines absolutely — missing a deadline is considered a total system failure, which matches the requirement that a missed alarm is unacceptable. A standard time-sharing OS is unsuitable because it is designed to rapidly switch the CPU among multiple users' processes to give each the illusion of a dedicated system, with no guarantee about exactly when any particular process will next get the CPU — it optimizes for overall fairness and responsiveness across many processes, not for guaranteeing a specific process meets a strict deadline every single time."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
The producer-consumer, readers-writers, and dining philosophers problems are classic synchronization problems used to illustrate and test solutions to concurrent resource-sharing challenges.

Question: Explain the producer-consumer (bounded-buffer) problem and how semaphores solve it.","Producers generate data items and place them into a fixed-size shared buffer; consumers remove and process items from the buffer. The solution uses three semaphores: `mutex` (binary, for mutual exclusion on the buffer), `empty` (counts empty slots, initialized to buffer size N), and `full` (counts filled slots, initialized to 0). A producer waits on `empty` and signals `full`; a consumer waits on `full` and signals `empty`; both use `mutex` around the actual buffer access."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In contiguous memory allocation, free memory is organized as a list of holes (blocks). First-fit allocates a process into the first hole large enough to hold it (scanning from the start). Best-fit allocates into the smallest hole that is still large enough. Worst-fit allocates into the largest available hole. After allocation, the unused remainder of the chosen hole remains as a smaller free hole.

Question: Free memory consists of the following holes, in this order: B0=253KB, B1=120KB, B2=387KB, B3=110KB, B4=167KB. The following processes arrive in this order and must each be placed into a single contiguous free hole: P0=112KB, P1=81KB, P2=139KB, P3=290KB.

Using the worst-fit allocation strategy, determine which memory block (if any) each process is placed into, and the sizes of the remaining free blocks after all allocations.","P0 (112KB): placed in B2 (was 387KB) -> B2 now has 275KB free
P1 (81KB): placed in B2 (was 275KB) -> B2 now has 194KB free
P2 (139KB): placed in B0 (was 253KB) -> B0 now has 114KB free
P3 (290KB): no free block is large enough -> CANNOT be allocated

Final remaining free block sizes: B0=114KB, B1=120KB, B2=194KB, B3=110KB, B4=167KB"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
C-LOOK disk scheduling behaves like C-SCAN, but instead of jumping to the physical end of the disk, the head jumps directly to the closest pending request on the other side, avoiding unnecessary movement to an empty boundary.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 140. The pending requests, in the order they arrived, are: 52, 94, 80, 105, 11, 144, 56, 189.

Using the C-LOOK (initial direction: increasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 140 -> 144 -> 189 -> 11 -> 52 -> 56 -> 80 -> 94 -> 105

Head movement per step: |144-140|=4 + |189-144|=45 + |11-189|=178 + |52-11|=41 + |56-52|=4 + |80-56|=24 + |94-80|=14 + |105-94|=11

Total head movement = 321 cylinders"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
SCAN disk scheduling moves the head in one direction, servicing every pending request it passes, continuing all the way to that end of the disk (cylinder 0 or the maximum cylinder) even if no request lies exactly there, then reverses direction and services the remaining requests on the other side, stopping once the last one is serviced.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 117. The pending requests, in the order they arrived, are: 96, 20, 174, 169, 138, 34, 167, 89, 30.

Using the SCAN (initial direction: increasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 117 -> 138 -> 167 -> 169 -> 174 -> 96 -> 89 -> 34 -> 30 -> 20

Head movement per step: |138-117|=21 + |167-138|=29 + |169-167|=2 + |174-169|=5 + |96-174|=78 + |89-96|=7 + |34-89|=55 + |30-34|=4 + |20-30|=10

Total head movement = 261 cylinders"
applied_numerical,hard,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
The Banker's algorithm avoids deadlock by only granting a resource request if the resulting state is 'safe'. A state is safe if there is some ordering (safe sequence) of all processes such that each process's remaining Need can be satisfied by the currently Available resources plus what is freed by processes earlier in the sequence. Need[i] = Max[i] - Allocation[i]. The safety algorithm repeatedly finds any unfinished process whose Need is <= Work (initially Available), 'runs' it (adding its Allocation back to Work), and marks it finished, until no more processes can be added (safe if all finish) or no more can be found (unsafe if any remain unfinished).

Question: A system has 5 processes (P0..P4) and 2 resource types (A, B). The current Allocation and Max matrices, and the Available vector, are:

Allocation:
Process | A  B
P0      | 6  1
P1      | 2  0
P2      | 6  0
P3      | 1  8
P4      | 5  0

Max:
Process | A  B
P0      | 6  5
P1      | 7  6
P2      | 9  9
P3      | 4  8
P4      | 7  9

Available: A=4, B=2

Compute the Need matrix, and using the Banker's algorithm, determine whether the system is currently in a safe state. If it is, give a valid safe sequence.","Need = Max - Allocation:
Process | A  B
P0      | 0  4
P1      | 5  6
P2      | 3  9
P3      | 3  0
P4      | 2  9

Need[P3] = [3, 0] <= Work [4, 2] -> P3 can run; Work becomes [5, 10]
Need[P4] = [2, 9] <= Work [5, 10] -> P4 can run; Work becomes [10, 10]
Need[P0] = [0, 4] <= Work [10, 10] -> P0 can run; Work becomes [16, 11]
Need[P1] = [5, 6] <= Work [16, 11] -> P1 can run; Work becomes [18, 11]
Need[P2] = [3, 9] <= Work [18, 11] -> P2 can run; Work becomes [24, 11]

All processes finish. The system IS in a safe state.
Safe sequence: P3 -> P4 -> P0 -> P1 -> P2"
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Virtualization allows a single physical machine to host multiple isolated virtual machines, each running its own guest operating system, managed by a hypervisor.

Question: What is a virtual machine, and what is a hypervisor?","A virtual machine (VM) is a software-based emulation of a complete physical computer, allowing an entire guest operating system to run isolated on top of a host system as if it had its own dedicated hardware. A hypervisor (Virtual Machine Monitor) is the software layer that creates and manages VMs, allocating and multiplexing the underlying physical hardware resources (CPU, memory, I/O) among them."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
FCFS disk scheduling services pending I/O requests strictly in the order they arrived, regardless of cylinder position. Total head movement is the sum of the absolute differences between consecutively serviced cylinders, starting from the initial head position.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 55. The pending requests, in the order they arrived, are: 140, 40, 104, 167, 121, 122.

Using the FCFS disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 55 -> 140 -> 40 -> 104 -> 167 -> 121 -> 122

Head movement per step: |140-55|=85 + |40-140|=100 + |104-40|=64 + |167-104|=63 + |121-167|=46 + |122-121|=1

Total head movement = 359 cylinders"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In contiguous memory allocation, free memory is organized as a list of holes (blocks). First-fit allocates a process into the first hole large enough to hold it (scanning from the start). Best-fit allocates into the smallest hole that is still large enough. Worst-fit allocates into the largest available hole. After allocation, the unused remainder of the chosen hole remains as a smaller free hole.

Question: Free memory consists of the following holes, in this order: B0=272KB, B1=216KB, B2=57KB, B3=135KB, B4=191KB, B5=349KB. The following processes arrive in this order and must each be placed into a single contiguous free hole: P0=232KB, P1=154KB, P2=34KB.

Using the first-fit allocation strategy, determine which memory block (if any) each process is placed into, and the sizes of the remaining free blocks after all allocations.","P0 (232KB): placed in B0 (was 272KB) -> B0 now has 40KB free
P1 (154KB): placed in B1 (was 216KB) -> B1 now has 62KB free
P2 (34KB): placed in B0 (was 40KB) -> B0 now has 6KB free

Final remaining free block sizes: B0=6KB, B1=62KB, B2=57KB, B3=135KB, B4=191KB, B5=349KB"
out_of_context,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
A function's stack frame holds local variables followed by the saved return address. Writing past an unbounded local buffer can overwrite that return address, letting an attacker hijack control flow when the function returns. ASLR and the NX bit are standard OS/hardware defenses.

Question: Who wrote the novel Pride and Prejudice?",OUT_OF_CONTEXT
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Multiprogramming: Keeping multiple jobs in main memory simultaneously so the CPU can switch to another job whenever the current one needs to wait for I/O, maximizing CPU utilization.

Question: What is Multiprogramming?","Keeping multiple jobs in main memory simultaneously so the CPU can switch to another job whenever the current one needs to wait for I/O, maximizing CPU utilization."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Interrupt vector table: A table of pointers (addresses) to interrupt service routines, indexed by interrupt number, used by the CPU to quickly locate the correct handler for an interrupt.

Question: What is Interrupt vector table?","A table of pointers (addresses) to interrupt service routines, indexed by interrupt number, used by the CPU to quickly locate the correct handler for an interrupt."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
A deadlock is a situation where a set of processes are all blocked, each waiting for a resource held by another process in the set, so none can proceed. Four conditions must hold simultaneously for a deadlock to occur.

Question: What is a Resource Allocation Graph (RAG) and how is it used to detect deadlock?","A RAG is a directed graph with process nodes and resource nodes; a request edge (P → R) means process P is waiting for resource R, and an assignment edge (R → P) means R is currently allocated to P. If the graph contains a cycle, and each resource in the cycle has only one instance, a deadlock exists; if resources have multiple instances, a cycle is necessary but not sufficient for deadlock."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
NUMA (Non-Uniform Memory Access): A multi-socket memory architecture where each socket has its own directly-attached memory node, and accessing another socket's (remote) node over the inter-socket interconnect is slower than accessing the local node.

Question: Explain the term NUMA (Non-Uniform Memory Access) in the context of operating systems.","A multi-socket memory architecture where each socket has its own directly-attached memory node, and accessing another socket's (remote) node over the inter-socket interconnect is slower than accessing the local node."
negative_edge_case,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Segmentation is a memory management scheme that supports the programmer's view of memory as a collection of variable-sized logical segments, such as code, stack, and data, rather than a single linear array.

Question: If a program's logical address has an offset exactly equal to a segment's limit value, is that a valid access?","No. The rule stated is: if the offset is less than the limit, the physical address is computed as base + offset; if the offset EXCEEDS the limit, a segmentation fault occurs. An offset exactly equal to the limit is neither 'less than' the limit, so it doesn't satisfy the valid condition — since segment sizes/limits are typically defined so valid offsets run from 0 up to (limit − 1), an offset equal to the limit value itself is one byte past the last valid byte in the segment, and would trigger a segmentation fault (trap) just as an offset that exceeds the limit would."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Convoy effect: A phenomenon in FCFS scheduling where a long CPU-bound process causes many shorter processes behind it to wait an unnecessarily long time.

Question: What is Convoy effect?",A phenomenon in FCFS scheduling where a long CPU-bound process causes many shorter processes behind it to wait an unnecessarily long time.
